Data,resumo,y,flexibilizacao
2020-03-18,(18/03/2020) Decreto 445/2020: Situação de emergência e fechamento do comércio. ,-1,False
2020-03-20,"(20/03/2020) Decreto 461/2020: Suspensão do transporte intermunicipal, <br/>fechamento de lojas de conveniência.",-2,False
2020-03-23,"(23/03/2020) Decretos 462 e 464/2020: Toque de recolher, suspensão do atendimento presencial em bancos e da rodoviária municipal.",-1,False
2020-04-01,"(01/04/2020) Decreto 489/2020: Liberação de padarias, açougues e peixarias.",1,True
2020-04-06,"(06/04/2020) Decreto 502/2020: Liberação de oficinas mecânicas, clínicas médicas, veterinárias e pet shops.",2,True
2020-04-08,"(08/04/2020) Decreto 506/2020: Novas regras sobre abertura de serviços de saúde de urgência, emergência e internação, farmácias, abastecimento de postos de combustível, distribuidora de água e gás. Comércios alimentícios são autorizados a abrir em horário especial no feriado de páscoa.",3,True
2020-04-09,(09/04/2020) Decreto 546/2020: Liberação da indústria e construção civil.,4,True
2020-04-15,(15/04/2020) Suspensão do toque de recolher por habeas corpus.,3,True
2020-04-18,(18/04/2020) Decreto 566/2020: Reabertura do comércio.,2,True
2020-04-22,"(22/04/2020) Decreto 578/2020: Liberação de feiras livres, hotéis e salões de beleza.",1,True
2020-04-28,(28/04/2020) Decreto 20.189: Uso obrigatório de máscaras.,-1,False
2020-05-08,"(08/05/2020) Decreto 637/2020: Liberação do funcionamento de shopping centers, atividades religiosas e serviços de alimentação.",1,True
2020-05-15,"(15/05/2020) Decreto 049/2020: Liberação do funcionamento de academias, incluindo aquelas que funcionam em condomínios, a partir de 18/05/2020, das 6 às 21 horas.",1,True
2020-05-18,"(18/05/2020) Decreto 690/2020: Toque de recolher, multa pelo não uso de máscara e restrições para bares e restaurantes.",-1,False
2020-05-29,"(29/05/2020) Decreto 798/2020: Flexibilização de normas de funcionamento de shopping centers, restaurantes, bares, disk bebidas e serviços de beleza.",1,True
2020-06-10,"(10/06/2020) Decreto 856/2020: Suspensão do funcionamento de indústrias não essenciais, construção civil, prestação de serviços (empresas e autônomos) e serviços públicos não essenciais.",-1,False
2020-06-16,"(16/06/2020) Decreto 862/2020: Suspensão das atividades de bares por 7 dias, multa de R$ 10 mil para proprietários de chácaras de lazer ou campos de futebol que aluguem espaço para festas ou prática esportiva, obrigatoriedade dos ônibus do transporte coletivo circularem apenas com passageiros sentados, entre outras medidas.⁣",-2,False
2020-06-23,"(23/06/2020) Decreto 889/2020: Suspensão das atividades de bares por 7 dias, multa de R$ 10 mil para proprietários de chácaras de lazer ou campos de futebol que aluguem espaço para festas ou prática esportiva, obrigatoriedade dos ônibus do transporte coletivo circularem apenas com passageiros sentados, entre outras medidas.⁣",-3,False
2020-07-01,"(01/07/2020) Decreto 919/2020: Suspensão das atividades de bares por 7 dias, multa de R$ 10 mil para proprietários de chácaras de lazer ou campos de futebol que aluguem espaço para festas ou prática esportiva, obrigatoriedade dos ônibus do transporte coletivo circularem apenas com passageiros sentados, entre outras medidas.⁣",-4,False
2020-07-06,"(06/07/2020) Decreto 943/2020: Bares, restaurantes (setor de alimentação) funcionarão das 8h às 15h (seg a sex);⁣ Multa de R$ 500 por pessoa que aglomerar em espaços públicos;⁣ Mercados e similares funcionam de segunda a sábado, das 8 às 20h e fica proibida a entrada de crianças menores de 12 anos e mais de uma pessoa por família.⁣",-3,False
