Date,Enfermaria,UTI,UTI neonatal,Enfermaria_total,UTI_total,UTI neonatal_total
20/12/2020,"59,56","85,15","57,63",1449,229,59
19/12/2020,"67,01","87,78","55,93",1449,229,59
18/12/2020,"65,7","83,41","49,15",1449,229,59
17/12/2020,"69,56","86,9","50,85",1449,229,59
16/12/2020,"66,94","85,59","49,15",1449,229,59
15/12/2020,"66,11","83,84","47,46",1449,229,59
14/12/2020,"63,42","86,46","49,15",1449,229,59
13/12/2020,"59,56","89,08","52,54",1449,229,59
12/12/2020,"67,22","87,77","54,24",1449,229,59
11/12/2020,"65,98","82,1","59,32",1449,229,59
10/12/2020,"67,84","83,84","59,32",1449,229,59
09/12/2020,"66,39","80,79","45,76",1449,229,59
08/12/2020,"65,56","79,91","59,32",1449,229,59
07/12/2020,"61,21","82,1","66,1",1449,229,59
06/12/2020,"63,29","78,17","59,32",1449,229,59
05/12/2020,"66,67","79,48","52,54",1449,229,59
04/12/2020,"65,42","80,79","50,85",1449,229,59
03/12/2020,"68,12","83,41","69,49",1449,229,59
02/12/2020,"66,45","79,04","55,93",1449,229,59
01/12/2020,"64,18","80,35","54,24",1449,229,59
30/11/2020,59,"82,1","61,02",1449,229,59
29/11/2020,57,"84,72","66,1",1449,229,59
28/11/2020,"70,26","79,04","64,41",1449,229,59
27/11/2020,"67,15","86,46","57,63",1449,229,59
26/11/2020,"68,32","82,53","55,93",1449,229,59
25/11/2020,"68,39","80,79","50,85",1449,229,59
24/11/2020,"70,19","74,67","57,63",1449,229,59
23/11/2020,"61,21","74,67","64,41",1449,229,59
22/11/2020,"59,97","75,11","55,93",1449,229,59
21/11/2020,"66,39","78,17","57,63",1449,229,59
20/11/2020,"65,42","77,88","59,32",1449,226,59
19/11/2020,"68,53","77,43","54,24",1449,226,59
18/11/2020,"67,56","69,71","67,8",1449,241,59
17/11/2020,"62,32","70,12","59,32",1449,241,59
16/11/2020,"59,35","67,22","55,93",1449,241,59
15/11/2020,"57,69","66,8","55,93",1449,241,59
14/11/2020,"67,01","71,37","54,24",1449,241,59
13/11/2020,"68,25","70,12","61,02",1449,241,59
12/11/2020,"67,43","69,29","61,02",1449,241,59
11/11/2020,"69,91","67,63","57,63",1449,241,59
10/11/2020,"65,91","68,88","54,24",1449,241,59
9/11/2020,"59,01","62,66","57,63",1449,241,59
8/11/2020,"55,56","60,17","50,85",1449,241,59
7/11/2020,"65,36","60,58","49,15",1449,241,59
6/11/2020,"64,73","63,07","50,85",1449,241,59
5/11/2020,"65,01","66,8","52,54",1449,241,59
4/11/2020,"59,7","68,46","54,24",1449,241,59
3/11/2020,"54,04","62,24","52,54",1449,241,59
2/11/2020,"51,21","62,24","55,93",1449,241,59
1/11/2020,"57,28","63,49","57,63",1449,241,59
31/10/2020,"68,12","64,73","54,24",1449,241,59
30/10/2020,"63,29","65,56","50,85",1449,241,59
29/10/2020,"65,15","66,39","52,54",1449,241,59
28/10/2020,"64,87","69,71","57,63",1449,241,59
27/10/2020,"59,97","65,98","54,24",1449,241,59
26/10/2020,"54,38","63,9","52,54",1449,241,59
25/10/2020,"56,11","67,22","59,32",1449,241,59
24/10/2020,"63,42","66,39","66,1",1449,241,59
23/10/2020,"64,32",61,"61,02",1449,241,59
22/10/2020,"63,15",61,"57,63",1449,241,59
21/10/2020,"64,53","64,73","52,54",1449,241,59
20/10/2020,"63,49","70,54","54,24",1449,241,59
19/10/2020,"57,49","72,2","54,24",1449,241,59
18/10/2020,"56,66","74,27","57,63",1449,241,59
17/10/2020,"62,11","71,37","55,93",1449,241,59
16/10/2020,"65,56","75,1","61,02",1449,241,59
15/10/2020,"67,7","76,76","59,32",1449,241,59
14/10/2020,"64,04","76,76","54,24",1449,241,59
13/10/2020,"57,69","72,2","57,63",1449,241,59
12/10/2020,"51,97","68,05","57,63",1449,241,59
11/10/2020,55,"70,12","57,63",1449,241,59
10/10/2020,"60,8","74,27","61,02",1449,241,59
09/10/2020,"63,22","73,03","54,24",1449,241,59
08/10/2020,"66,94","73,86","52,54",1449,241,59
07/10/2020,"64,04","71,78","47,46",1449,241,59
06/10/2020,"64,04","65,15","52,54",1449,241,59
05/10/2020,"58,11","64,32","57,63",1449,241,59
04/10/2020,"56,87","64,32","49,15",1449,241,59
03/10/2020,"66,18","64,32","50,85",1449,241,59
02/10/2020,"67,7","65,56","47,46",1449,241,59
01/10/2020,"66,67","69,29","42,37",1449,241,59
30/9/2020,"66,18","71,37","42,37",1449,241,59
29/9/2020,"61,97","71,78","47,46",1449,241,59
28/9/2020,"54,45","58,46","45,76",1449,241,59
27/9/2020,"50,31","65,15","45,76",1449,241,59
26/9/2020,"62,73","72,2","50,85",1449,241,59
25/9/2020,"63,29","65,98","50,85",1449,241,59
24/9/2020,"63,15","68,05","45,76",1449,241,59
23/9/2020,"62,11","70,12","49,15",1449,241,59
22/9/2020,"61,28","70,12","54,24",1449,241,59
21/9/2020,"54,8","68,88","45,76",1449,241,59
20/9/2020,"51,48","72,61","42,31",1449,241,59
19/9/2020,"59,35","68,88","42,37",1449,241,59
18/9/2020,"60,25","67,22","49,15",1449,241,59
17/9/2020,"65,08","71,37","55,93",1449,241,59
16/9/2020,"62,59","70,95","45,76",1449,241,59
15/9/2020,"61,01","65,98","47,46",1449,241,59
14/9/2020,"56,18","66,39","57,63",1449,241,59
13/9/2020,"51,69","69,29","55,93",1449,241,59
12/9/2020,"56,31","67,63","57,63",1449,241,59
11/9/2020,"60,66","68,88","54,24",1449,241,59
10/9/2020,"63,35","73,03","50,85",1449,241,59
9/9/2020,"61,9","70,95","52,54",1449,241,59
8/9/2020,"53,55","68,46","50,85",1449,241,59
7/9/2020,"49,07","70,54","52,54",1449,241,59
6/9/2020,"51,35","73,03","54,24",1449,241,59
5/9/2020,"57,14","71,37","45,76",1449,241,59
4/9/2020,"60,73","76,76","54,24",1449,241,59
3/9/2020,"61,21","70,12","50,85",1449,241,59
2/9/2020,"59,35","74,69","47,46",1449,241,59
1/9/2020,"59,49","74,27","47,46",1449,241,59
31/8/2020,"54,38","69,29","55,93",1449,241,59
30/8/2020,"49,34","71,78","50,85",1449,241,59
29/8/2020,"57,21","74,69","49,15",1449,241,59
28/8/2020,"58,39","71,78","49,15",1449,241,59
27/8/2020,"61,01","71,78","47,46",1449,241,59
26/8/2020,"60,46","73,03","49,15",1449,241,59
25/8/2020,"54,87","66,8","54,24",1449,241,59
