Data,Confirmados,Ativos
2020-03-18,1,
2020-03-19,2,
2020-03-20,2,
2020-03-21,3,
2020-03-22,3,
2020-03-23,4,
2020-03-24,4,
2020-03-25,5,
2020-03-26,5,
2020-03-27,9,
2020-03-28,12,
2020-03-29,12,
2020-03-30,16,
2020-03-31,16,
2020-04-01,19,
2020-04-02,22,
2020-04-03,25,
2020-04-04,31,
2020-04-05,33,
2020-04-06,38,
2020-04-07,39,
2020-04-08,42,
2020-04-09,44,
2020-04-10,45,
2020-04-11,46,
2020-04-12,47,
2020-04-13,49,
2020-04-14,50,12.0
2020-04-15,51,12.0
2020-04-16,51,6.0
2020-04-17,52,7.0
2020-04-18,52,7.0
2020-04-19,53,6.0
2020-04-20,54,6.0
2020-04-21,54,6.0
2020-04-22,57,9.0
2020-04-23,61,10.0
2020-04-24,64,12.0
2020-04-25,65,12.0
2020-04-26,71,16.0
2020-04-27,71,15.0
2020-04-28,75,16.0
2020-04-29,79,18.0
2020-04-30,87,26.0
2020-05-01,95,34.0
2020-05-02,99,38.0
2020-05-03,101,35.0
2020-05-04,101,34.0
2020-05-05,102,26.0
2020-05-06,106,27.0
2020-05-07,110,25.0
2020-05-08,110,21.0
2020-05-09,111,22.0
2020-05-10,112,21.0
2020-05-11,114,22.0
2020-05-12,119,24.0
2020-05-13,124,22.0
2020-05-14,129,27.0
2020-05-15,132,29.0
2020-05-16,152,49.0
2020-05-17,160,57.0
2020-05-18,183,74.0
2020-05-19,189,80.0
2020-05-20,208,94.0
2020-05-21,213,99.0
2020-05-22,236,119.0
2020-05-23,250,125.0
2020-05-24,271,146.0
2020-05-25,282,143.0
2020-05-26,304,159.0
2020-05-27,320,172.0
2020-05-28,328,180.0
2020-05-29,347,174.0
2020-05-30,358,170.0
2020-05-31,371,176.0
2020-06-01,379,170.0
2020-06-02,395,156.0
2020-06-03,429,181.0
2020-06-04,440,188.0
2020-06-05,493,221.0
2020-06-06,505,226.0
2020-06-07,519,229.0
2020-06-08,538,239.0
2020-06-09,595,257.0
2020-06-10,643,300.0
2020-06-11,695,347.0
2020-06-12,741,343.0
2020-06-13,768,369.0
2020-06-14,791,380.0
2020-06-15,850,406.0
2020-06-16,895,430.0
2020-06-17,922,347.0
2020-06-18,967,367.0
2020-06-19,1028,412.0
2020-06-20,1079,450.0
2020-06-21,1113,471.0
2020-06-22,1154,464.0
2020-06-23,1219,477.0
2020-06-24,1278,475.0
2020-06-25,1322,499.0
2020-06-26,1359,474.0
2020-06-27,1422,516.0
2020-06-28,1447,538.0
2020-06-29,1493,487.0
2020-06-30,1520,471.0
2020-07-01,1559,450.0
2020-07-02,1617,446.0
2020-07-03,1674,470.0
2020-07-04,1757,514.0
2020-07-05,1848,582.0
2020-07-06,1912,603.0
2020-07-07,1979,611.0
2020-07-08,2043,568.0
2020-07-09,2084,577.0
2020-07-10,2121,576.0
2020-07-11,2183,614.0
2020-07-12,2216,646.0
2020-07-13,2271,699.0
2020-07-14,2342,700.0
2020-07-15,2410,622.0
2020-07-16,2456,570.0
2020-07-17,2517,554.0
2020-07-18,2590,572.0
2020-07-19,2693,645.0
2020-07-20,2733,656.0
2020-07-21,2822,663.0
2020-07-22,2891,662.0
2020-07-23,2998,693.0
2020-07-24,3065,674.0
2020-07-25,3156,682.0
2020-07-26,3196,686.0
2020-07-27,3244,699.0
2020-07-28,3314,694.0
2020-07-29,3402,726.0
2020-07-30,3465,679.0
2020-07-31,3538,730.0
2020-08-01,3595,715.0
2020-08-02,3639,706.0
2020-08-03,3714,694.0
2020-08-04,3813,653.0
2020-08-05,3892,679.0
2020-08-06,3985,720.0
2020-08-07,4058,667.0
2020-08-08,4089,654.0
2020-08-09,4133,677.0
2020-08-10,4237,744.0
2020-08-11,4367,777.0
2020-08-12,4430,791.0
2020-08-13,4510,793.0
2020-08-14,4603,789.0
2020-08-15,4639,730.0
2020-08-16,4681,719.0
2020-08-17,4758,719.0
2020-08-18,4867,760.0
2020-08-19,4970,825.0
2020-08-20,5110,840.0
2020-08-21,5218,843.0
2020-08-22,5277,840.0
2020-08-23,5329,882.0
2020-08-24,5441,950.0
2020-08-25,5587,967.0
2020-08-26,5633,915.0
2020-08-27,5712,928.0
2020-08-28,5819,911.0
2020-08-29,5886,938.0
2020-08-30,5943,934.0
2020-08-31,6009,984.0
2020-09-01,6068,810.0
2020-09-02,6195,768.0
2020-09-03,6305,719.0
2020-09-04,6393,660.0
2020-09-05,6442,599.0
2020-09-06,6517,668.0
2020-09-07,6564,685.0
2020-09-08,6635,654.0
2020-09-09,6719,618.0
2020-09-10,6842,610.0
2020-09-11,6918,626.0
2020-09-12,6975,563.0
2020-09-13,7016,590.0
