date,name,value,rank,lastValue
2022-01-01,Aimer,0,66,0
2022-01-01,Anderson .Paak,0,65,0
2022-01-01,Antônio Carlos Jobim,0,64,0
2022-01-01,Arctic Monkeys,0,63,0
2022-01-01,BaianaSystem,0,62,0
2022-01-01,Black Alien,0,61,0
2022-01-01,Boi Bumbá Garantido,0,60,0
2022-01-01,Camarada Janderson,0,59,0
2022-01-01,Chico Buarque,0,58,0
2022-01-01,Chico Science & Nação Zumbi,0,57,0
2022-01-01,Cory Wong,0,56,0
2022-01-01,Criolo,0,55,0
2022-01-01,Daft Punk,0,54,0
2022-01-01,Don L,0,53,0
2022-01-01,Elza Soares,0,52,0
2022-01-01,Emicida,0,51,0
2022-01-01,FBC,0,50,0
2022-01-01,Febem,0,49,0
2022-01-01,Foster the People,0,48,0
2022-01-01,Gen Hoshino,0,47,0
2022-01-01,Gorillaz,0,46,0
2022-01-01,Hiromi,0,45,0
2022-01-01,Jamiroquai,0,44,0
2022-01-01,Joe Hisaishi,0,43,0
2022-01-01,John Mayer,0,42,0
2022-01-01,Jovem Dionisio,0,41,0
2022-01-01,KANA-BOON,0,40,0
2022-01-01,KT Tunstall,0,39,0
2022-01-01,Kenshi Yonezu,0,38,0
2022-01-01,Khruangbin,0,37,0
2022-01-01,LUDMILLA,0,36,0
2022-01-01,Lilas Ikuta,0,35,0
2022-01-01,Lô Borges,0,34,0
2022-01-01,MC Primitivo,0,33,0
2022-01-01,Masayuki Suzuki,0,32,0
2022-01-01,Novos Baianos,0,31,0
2022-01-01,O'Donel Levy,0,30,0
2022-01-01,Official HIGE DANdism,0,29,0
2022-01-01,Papatinho,0,28,0
2022-01-01,Paulinho da Viola,0,27,0
2022-01-01,Phoenix,0,26,0
2022-01-01,Pomplamoose,0,25,0
2022-01-01,RADWIMPS,0,24,0
2022-01-01,Rage Against the Machine,0,23,0
2022-01-01,Red Hot Chili Peppers,0,22,0
2022-01-01,SILVIO RODRÍGUEZ,0,21,0
2022-01-01,Saint Motel,0,20,0
2022-01-01,Sakanaction,0,19,0
2022-01-01,Scary Pockets,0,18,0
2022-01-01,Taichi Mukai,0,17,0
2022-01-01,Tame Impala,0,16,0
2022-01-01,The Kooks,0,15,0
2022-01-01,The Strokes,0,14,0
2022-01-01,Two Door Cinema Club,0,13,0
2022-01-01,Victor Jara,0,12,0
2022-01-01,Vulfpeck,0,11,0
2022-01-01,Wednesday Campanella,0,10,0
2022-01-01,YOASOBI,0,9,0
2022-01-01,Yorushika,0,8,0
2022-01-01,Yuki Hayashi,0,7,0
2022-01-01,go!go!vanillas,0,6,0
2022-01-01,ichika Nito,0,5,0
2022-01-01,never young beach,0,4,0
2022-01-01,あたらよ,0,3,0
2022-01-01,ネクライトーキー,0,2,0
2022-01-01,フレデリック,0,1,0
2022-01-01,ヨルシカ,0,0,0
2022-01-02,Aimer,0,66,0
2022-01-02,Anderson .Paak,0,65,0
2022-01-02,Antônio Carlos Jobim,0,64,0
2022-01-02,Arctic Monkeys,0,63,0
2022-01-02,BaianaSystem,0,62,0
2022-01-02,Black Alien,0,61,0
2022-01-02,Boi Bumbá Garantido,0,60,0
2022-01-02,Camarada Janderson,0,59,0
2022-01-02,Chico Buarque,0,58,0
2022-01-02,Chico Science & Nação Zumbi,0,57,0
2022-01-02,Cory Wong,0,56,0
2022-01-02,Criolo,0,55,0
2022-01-02,Daft Punk,0,54,0
2022-01-02,Don L,0,53,0
2022-01-02,Elza Soares,0,52,0
2022-01-02,Emicida,0,51,0
2022-01-02,FBC,0,50,0
2022-01-02,Febem,0,49,0
2022-01-02,Foster the People,0,48,0
2022-01-02,Gen Hoshino,0,47,0
2022-01-02,Gorillaz,0,46,0
2022-01-02,Hiromi,0,45,0
2022-01-02,Jamiroquai,0,44,0
2022-01-02,Joe Hisaishi,0,43,0
2022-01-02,John Mayer,0,42,0
2022-01-02,Jovem Dionisio,0,41,0
2022-01-02,KANA-BOON,0,40,0
2022-01-02,KT Tunstall,0,39,0
2022-01-02,Kenshi Yonezu,0,38,0
2022-01-02,Khruangbin,0,37,0
2022-01-02,LUDMILLA,0,36,0
2022-01-02,Lilas Ikuta,0,35,0
2022-01-02,Lô Borges,0,34,0
2022-01-02,MC Primitivo,0,33,0
2022-01-02,Masayuki Suzuki,0,32,0
2022-01-02,Novos Baianos,0,31,0
2022-01-02,O'Donel Levy,0,30,0
2022-01-02,Official HIGE DANdism,0,29,0
2022-01-02,Papatinho,0,28,0
2022-01-02,Paulinho da Viola,0,27,0
2022-01-02,Phoenix,0,26,0
2022-01-02,Pomplamoose,0,25,0
2022-01-02,RADWIMPS,0,24,0
2022-01-02,Rage Against the Machine,0,23,0
2022-01-02,Red Hot Chili Peppers,0,22,0
2022-01-02,SILVIO RODRÍGUEZ,0,21,0
2022-01-02,Saint Motel,0,20,0
2022-01-02,Sakanaction,0,19,0
2022-01-02,Scary Pockets,0,18,0
2022-01-02,Taichi Mukai,0,17,0
2022-01-02,Tame Impala,0,16,0
2022-01-02,The Kooks,0,15,0
2022-01-02,The Strokes,0,14,0
2022-01-02,Two Door Cinema Club,0,13,0
2022-01-02,Victor Jara,0,12,0
2022-01-02,Vulfpeck,0,11,0
2022-01-02,Wednesday Campanella,0,10,0
2022-01-02,YOASOBI,0,9,0
2022-01-02,Yorushika,0,8,0
2022-01-02,Yuki Hayashi,0,7,0
2022-01-02,go!go!vanillas,0,6,0
2022-01-02,ichika Nito,0,5,0
2022-01-02,never young beach,0,4,0
2022-01-02,あたらよ,0,3,0
2022-01-02,ネクライトーキー,0,2,0
2022-01-02,フレデリック,0,1,0
2022-01-02,ヨルシカ,0,0,0
2022-01-03,Aimer,0,66,0
2022-01-03,Anderson .Paak,0,65,0
2022-01-03,Antônio Carlos Jobim,0,64,0
2022-01-03,Arctic Monkeys,0,63,0
2022-01-03,BaianaSystem,3,0,0
2022-01-03,Black Alien,0,62,0
2022-01-03,Boi Bumbá Garantido,0,61,0
2022-01-03,Camarada Janderson,0,60,0
2022-01-03,Chico Buarque,0,59,0
2022-01-03,Chico Science & Nação Zumbi,0,58,0
2022-01-03,Cory Wong,0,57,0
2022-01-03,Criolo,0,56,0
2022-01-03,Daft Punk,0,55,0
2022-01-03,Don L,1,1,0
2022-01-03,Elza Soares,0,54,0
2022-01-03,Emicida,0,53,0
2022-01-03,FBC,0,52,0
2022-01-03,Febem,0,51,0
2022-01-03,Foster the People,0,50,0
2022-01-03,Gen Hoshino,0,49,0
2022-01-03,Gorillaz,0,48,0
2022-01-03,Hiromi,0,47,0
2022-01-03,Jamiroquai,0,46,0
2022-01-03,Joe Hisaishi,0,45,0
2022-01-03,John Mayer,0,44,0
2022-01-03,Jovem Dionisio,0,43,0
2022-01-03,KANA-BOON,0,42,0
2022-01-03,KT Tunstall,0,41,0
2022-01-03,Kenshi Yonezu,0,40,0
2022-01-03,Khruangbin,0,39,0
2022-01-03,LUDMILLA,0,38,0
2022-01-03,Lilas Ikuta,0,37,0
2022-01-03,Lô Borges,0,36,0
2022-01-03,MC Primitivo,0,35,0
2022-01-03,Masayuki Suzuki,0,34,0
2022-01-03,Novos Baianos,0,33,0
2022-01-03,O'Donel Levy,0,32,0
2022-01-03,Official HIGE DANdism,0,31,0
2022-01-03,Papatinho,0,30,0
2022-01-03,Paulinho da Viola,0,29,0
2022-01-03,Phoenix,0,28,0
2022-01-03,Pomplamoose,0,27,0
2022-01-03,RADWIMPS,0,26,0
2022-01-03,Rage Against the Machine,0,25,0
2022-01-03,Red Hot Chili Peppers,0,24,0
2022-01-03,SILVIO RODRÍGUEZ,0,23,0
2022-01-03,Saint Motel,0,22,0
2022-01-03,Sakanaction,0,21,0
2022-01-03,Scary Pockets,0,20,0
2022-01-03,Taichi Mukai,0,19,0
2022-01-03,Tame Impala,0,18,0
2022-01-03,The Kooks,0,17,0
2022-01-03,The Strokes,0,16,0
2022-01-03,Two Door Cinema Club,0,15,0
2022-01-03,Victor Jara,0,14,0
2022-01-03,Vulfpeck,0,13,0
2022-01-03,Wednesday Campanella,0,12,0
2022-01-03,YOASOBI,0,11,0
2022-01-03,Yorushika,0,10,0
2022-01-03,Yuki Hayashi,0,9,0
2022-01-03,go!go!vanillas,0,8,0
2022-01-03,ichika Nito,0,7,0
2022-01-03,never young beach,0,6,0
2022-01-03,あたらよ,0,5,0
2022-01-03,ネクライトーキー,0,4,0
2022-01-03,フレデリック,0,3,0
2022-01-03,ヨルシカ,0,2,0
2022-01-04,Aimer,0,66,0
2022-01-04,Anderson .Paak,0,65,0
