Data,Confirmados_diario,moving_average
2020-03-18,1.0,1.0
2020-03-19,1.0,1.0
2020-03-20,0.0,0.6666666666666666
2020-03-21,1.0,0.75
2020-03-22,0.0,0.6
2020-03-23,1.0,0.6666666666666666
2020-03-24,0.0,0.5714285714285714
2020-03-25,1.0,0.5714285714285714
2020-03-26,0.0,0.42857142857142855
2020-03-27,4.0,1.0
2020-03-28,3.0,1.2857142857142858
2020-03-29,0.0,1.2857142857142858
2020-03-30,4.0,1.7142857142857142
2020-03-31,0.0,1.7142857142857142
2020-04-01,3.0,2.0
2020-04-02,3.0,2.4285714285714284
2020-04-03,3.0,2.2857142857142856
2020-04-04,6.0,2.7142857142857144
2020-04-05,2.0,3.0
2020-04-06,5.0,3.142857142857143
2020-04-07,1.0,3.2857142857142856
2020-04-08,3.0,3.2857142857142856
2020-04-09,2.0,3.142857142857143
2020-04-10,1.0,2.857142857142857
2020-04-11,1.0,2.142857142857143
2020-04-12,1.0,2.0
2020-04-13,2.0,1.5714285714285714
2020-04-14,1.0,1.5714285714285714
2020-04-15,1.0,1.2857142857142858
2020-04-16,0.0,1.0
2020-04-17,1.0,1.0
2020-04-18,0.0,0.8571428571428571
2020-04-19,1.0,0.8571428571428571
2020-04-20,1.0,0.7142857142857143
2020-04-21,0.0,0.5714285714285714
2020-04-22,3.0,0.8571428571428571
2020-04-23,4.0,1.4285714285714286
2020-04-24,3.0,1.7142857142857142
2020-04-25,1.0,1.8571428571428572
2020-04-26,6.0,2.5714285714285716
2020-04-27,0.0,2.4285714285714284
2020-04-28,4.0,3.0
2020-04-29,4.0,3.142857142857143
2020-04-30,8.0,3.7142857142857144
2020-05-01,8.0,4.428571428571429
2020-05-02,4.0,4.857142857142857
2020-05-03,2.0,4.285714285714286
2020-05-04,0.0,4.285714285714286
2020-05-05,1.0,3.857142857142857
2020-05-06,4.0,3.857142857142857
2020-05-07,4.0,3.2857142857142856
2020-05-08,0.0,2.142857142857143
2020-05-09,1.0,1.7142857142857142
2020-05-10,1.0,1.5714285714285714
2020-05-11,2.0,1.8571428571428572
2020-05-12,5.0,2.4285714285714284
2020-05-13,5.0,2.5714285714285716
2020-05-14,5.0,2.7142857142857144
2020-05-15,3.0,3.142857142857143
2020-05-16,20.0,5.857142857142857
2020-05-17,8.0,6.857142857142857
2020-05-18,23.0,9.857142857142858
2020-05-19,6.0,10.0
2020-05-20,19.0,12.0
2020-05-21,5.0,12.0
2020-05-22,23.0,14.857142857142858
2020-05-23,14.0,14.0
2020-05-24,21.0,15.857142857142858
2020-05-25,11.0,14.142857142857142
2020-05-26,22.0,16.428571428571427
2020-05-27,16.0,16.0
2020-05-28,8.0,16.428571428571427
2020-05-29,19.0,15.857142857142858
2020-05-30,11.0,15.428571428571429
2020-05-31,13.0,14.285714285714286
2020-06-01,8.0,13.857142857142858
2020-06-02,16.0,13.0
2020-06-03,34.0,15.571428571428571
2020-06-04,11.0,16.0
2020-06-05,53.0,20.857142857142858
2020-06-06,12.0,21.0
2020-06-07,14.0,21.142857142857142
2020-06-08,19.0,22.714285714285715
2020-06-09,57.0,28.571428571428573
2020-06-10,48.0,30.571428571428573
2020-06-11,52.0,36.42857142857143
2020-06-12,46.0,35.42857142857143
2020-06-13,27.0,37.57142857142857
2020-06-14,23.0,38.857142857142854
2020-06-15,59.0,44.57142857142857
2020-06-16,45.0,42.857142857142854
2020-06-17,27.0,39.857142857142854
2020-06-18,45.0,38.857142857142854
2020-06-19,61.0,41.0
2020-06-20,51.0,44.42857142857143
2020-06-21,34.0,46.0
2020-06-22,41.0,43.42857142857143
2020-06-23,65.0,46.285714285714285
2020-06-24,59.0,50.857142857142854
2020-06-25,44.0,50.714285714285715
2020-06-26,37.0,47.285714285714285
2020-06-27,63.0,49.0
2020-06-28,25.0,47.714285714285715
2020-06-29,46.0,48.42857142857143
