,count_2019,count_2020,category,category_str_pt,category_str_en,category_str_complete_pt,category_str_complete_en
0,1092.0,1207,1,Jan,Jan,Janeiro,January
1,940.0,969,2,Fev,Feb,Fevereiro,February
2,787.0,979,3,Mar,Mar,Março,March
3,865.0,777,4,Abr,Apr,Abril,April
4,1137.0,578,5,Mai,Mai,Maio,May
5,867.0,353,6,Jun,Jun,Junho,June
6,440.0,864,7,Jul,Jul,Julho,July
7,388.0,383,8,Ago,Aug,Agosto,August
8,1052.0,412,9,Set,Sep,Setembro,September
9,875.0,874,10,Out,Oct,Outubro,October
10,722.0,543,11,Nov,Nov,Novembro,November
11,1050.0,743,12,Dez,Dec,Dezembro,December
