,streak,name,date
8,2,あたらよ,2022-12-31 20:27:00
21,2,Paramore,2022-12-31 19:32:00
30,3,Paramore,2022-12-30 14:48:00
39,6,Paramore,2022-12-29 22:39:00
54,2,never young beach,2022-12-26 19:02:00
65,2,Paramore,2022-12-26 17:19:00
73,2,Paramore,2022-12-26 00:09:00
88,2,Hermeto Pascoal,2022-12-24 18:02:00
95,2,Paramore,2022-12-24 17:26:00
96,2,Peter Bjorn and John,2022-12-24 05:01:00
104,4,Scary Pockets,2022-12-24 03:30:00
119,2,Falamansa,2022-12-24 02:30:00
134,2,Caetano Veloso,2022-12-24 01:31:00
138,2,Raul Seixas,2022-12-24 01:07:00
152,2,João Gilberto,2022-12-24 00:01:00
164,2,João Gilberto,2022-12-23 23:16:00
181,3,Tim Maia,2022-12-23 22:03:00
193,2,Paramore,2022-12-23 21:10:00
198,2,Paramore,2022-12-23 20:48:00
211,13,Criolo,2022-12-23 19:03:00
236,2,あたらよ,2022-12-23 12:38:00
237,2,imase,2022-12-23 12:29:00
272,2,Paulinho da Viola,2022-12-22 19:24:00
286,2,Paulinho da Viola,2022-12-22 18:39:00
296,2,The Kooks,2022-12-22 13:43:00
314,2,never young beach,2022-12-21 18:52:00
317,3,Anderson .Paak,2022-12-21 17:53:00
321,2,never young beach,2022-12-21 17:31:00
325,7,Hermeto Pascoal,2022-12-21 16:01:00
332,7,Arctic Monkeys,2022-12-21 02:38:00
335,2,ichika Nito,2022-12-21 01:37:00
338,2,BaianaSystem,2022-12-21 01:14:00
347,2,Caetano Veloso,2022-12-20 14:46:00
348,2,Lô Borges,2022-12-20 14:42:00
352,2,あたらよ,2022-12-20 12:19:00
363,2,HY,2022-12-20 01:13:00
368,2,never young beach,2022-12-19 23:13:00
371,8,Chihiro Yamanaka,2022-12-19 22:09:00
390,5,HY,2022-12-19 15:12:00
391,2,Yoake,2022-12-19 14:03:00
417,8,Criolo,2022-12-19 02:07:00
461,14,Criolo,2022-12-17 19:50:00
463,3,Seu Jorge,2022-12-17 19:34:00
512,2,BaianaSystem,2022-12-15 12:31:00
520,2,あたらよ,2022-12-15 04:21:00
521,2,imase,2022-12-15 04:15:00
537,2,Scary Pockets,2022-12-14 20:34:00
555,7,あたらよ,2022-12-14 13:12:00
557,2,imase,2022-12-14 13:01:00
559,3,Arctic Monkeys,2022-12-14 12:18:00
566,2,BaianaSystem,2022-12-14 02:15:00
569,2,Lô Borges,2022-12-13 17:39:00
578,2,O'Donel Levy,2022-12-13 12:22:00
586,2,IZA,2022-12-13 01:42:00
591,5,ichika Nito,2022-12-12 21:08:00
597,2,Macaroni Empitsu,2022-12-12 20:49:00
598,2,あたらよ,2022-12-12 20:40:00
599,2,imase,2022-12-12 20:29:00
605,2,never young beach,2022-12-12 13:19:00
607,2,Arctic Monkeys,2022-12-12 13:08:00
608,4,ichika Nito,2022-12-12 12:25:00
618,2,Criolo,2022-12-12 00:33:00
620,2,Criolo,2022-12-12 00:18:00
625,6,ichika Nito,2022-12-11 23:48:00
630,6,ichika Nito,2022-12-11 22:11:00
637,2,あたらよ,2022-12-11 21:42:00
638,2,imase,2022-12-11 21:35:00
653,3,The Kooks,2022-12-11 05:31:00
654,2,あたらよ,2022-12-11 05:20:00
655,2,imase,2022-12-11 05:11:00
658,2,あたらよ,2022-12-11 01:23:00
659,2,imase,2022-12-11 01:17:00
660,2,Diogo Nogueira,2022-12-11 00:36:00
664,2,Criolo,2022-12-05 12:10:00
665,2,Paulinho da Viola,2022-12-05 11:52:00
666,2,Diogo Nogueira,2022-12-05 11:48:00
667,3,Official HIGE DANdism,2022-12-05 02:31:00
672,2,あたらよ,2022-12-04 10:36:00
673,2,imase,2022-12-04 10:30:00
674,4,blink-182,2022-12-04 01:37:00
680,2,never young beach,2022-12-03 00:05:00
682,3,LUDMILLA,2022-12-02 14:41:00
685,2,yuhei miura,2022-12-02 12:45:00
686,2,edbl,2022-12-01 15:04:00
689,3,あたらよ,2022-12-01 11:42:00
690,2,imase,2022-12-01 03:30:00
691,2,あたらよ,2022-12-01 02:37:00
693,3,The Kooks,2022-12-01 00:33:00
698,3,ichika Nito,2022-12-01 00:09:00
707,2,O'Donel Levy,2022-11-30 22:12:00
708,2,The Kooks,2022-11-30 22:06:00
714,2,The Kooks,2022-11-30 21:39:00
718,3,Chico Science & Nação Zumbi,2022-11-30 20:26:00
719,3,LUDMILLA,2022-11-30 20:15:00
723,2,never young beach,2022-11-30 20:01:00
726,12,Jon Batiste,2022-11-30 18:22:00
728,4,The Shins,2022-11-30 17:10:00
763,2,LUDMILLA,2022-11-28 20:04:00
767,2,never young beach,2022-11-28 19:37:00
769,2,竹内アンナ,2022-11-28 19:22:00
773,7,ichika Nito,2022-11-28 18:40:00
778,5,ichika Nito,2022-11-27 16:59:00
784,2,Paulinho da Viola,2022-11-27 00:09:00
787,3,Arctic Monkeys,2022-11-26 23:50:00
788,3,Seu Jorge,2022-11-26 23:37:00
792,27,ichika Nito,2022-11-26 16:33:00
794,3,Arctic Monkeys,2022-11-26 15:16:00
795,3,Seu Jorge,2022-11-26 15:03:00
799,6,ichika Nito,2022-11-26 14:36:00
803,6,ichika Nito,2022-11-26 14:12:00
809,2,Muse,2022-11-25 23:15:00
842,2,Official HIGE DANdism,2022-11-25 04:10:00
847,2,Clever Girl,2022-11-24 17:47:00
849,27,ichika Nito,2022-11-24 14:13:00
850,2,Clever Girl,2022-11-24 14:00:00
852,2,ichika Nito,2022-11-24 13:54:00
861,17,ichika Nito,2022-11-23 19:37:00
862,10,Polyphia,2022-11-23 18:20:00
863,30,ichika Nito,2022-11-23 12:12:00
871,2,Ichikoro,2022-11-22 20:45:00
875,4,Clever Girl,2022-11-22 20:16:00
876,3,Tame Impala,2022-11-22 20:04:00
879,5,KANA-BOON,2022-11-22 19:17:00
880,3,Art Blakey & The Jazz Messengers,2022-11-22 18:49:00
881,2,Don L,2022-11-22 18:41:00
894,3,Seu Jorge,2022-11-22 12:44:00
908,6,toe,2022-11-21 21:51:00
914,3,The Killers,2022-11-21 20:35:00
915,2,Khruangbin,2022-11-21 19:50:00
916,4,Vulfpeck,2022-11-21 19:41:00
920,2,O'Donel Levy,2022-11-21 18:28:00
923,3,Criolo,2022-11-21 16:04:00
924,2,Cory Wong,2022-11-21 15:54:00
937,2,竹内アンナ,2022-11-21 02:49:00
939,2,Lô Borges,2022-11-20 23:55:00
949,2,O'Donel Levy,2022-11-19 21:29:00
953,2,Adoniran Barbosa,2022-11-19 03:35:00
954,2,LUDMILLA,2022-11-19 01:55:00
957,2,Don L,2022-11-19 01:39:00
958,6,Criolo,2022-11-18 22:18:00
965,2,Vulfpeck,2022-11-18 18:24:00
966,3,RADWIMPS,2022-11-18 18:19:00
971,2,Anderson .Paak,2022-11-18 17:57:00
981,2,Milton Nascimento,2022-11-18 11:53:00
983,2,Milton Nascimento,2022-11-18 11:51:00
987,2,Foster the People,2022-11-18 00:38:00
1013,2,Joe Hisaishi,2022-11-16 15:59:00
1014,2,Sleepy Tom,2022-11-16 15:55:00
1019,2,never young beach,2022-11-16 14:01:00
1049,2,Phoenix,2022-11-15 15:24:00
1067,2,Phoenix,2022-11-15 04:53:00
1068,2,Official HIGE DANdism,2022-11-15 04:47:00
1078,3,ヨルシカ,2022-11-15 00:37:00
1080,2,DAOKO,2022-11-14 22:26:00
1085,2,Official HIGE DANdism,2022-11-14 18:42:00
1099,2,Wednesday Campanella,2022-11-13 23:19:00
1124,2,O'Donel Levy,2022-11-13 02:17:00
1133,2,The Kooks,2022-11-12 20:46:00
1139,2,John Mayer,2022-11-12 19:30:00
