,streak,name,date
110,2,Young Folks - Peter Bjorn and John,2022-12-24 05:01:00
214,2,Deathwish - Architects,2022-12-23 21:20:00
393,2,Blossom - ichika Nito,2022-12-21 01:37:00
396,2,Brasiliana - BaianaSystem,2022-12-21 01:14:00
405,2,Sonhos - Caetano Veloso,2022-12-20 14:46:00
406,2,Um Girassol da Cor do Seu Cabelo - Lô Borges,2022-12-20 14:42:00
428,2,Owakareno Uta - never young beach,2022-12-19 23:13:00
657,2,夏霞 - あたらよ,2022-12-14 13:17:00
672,2,Sulamericano - BaianaSystem,2022-12-14 02:15:00
675,2,O Trem Azul - Lô Borges,2022-12-13 17:39:00
693,2,Dona de Mim - IZA,2022-12-13 01:42:00
699,2,Nothing is lost - ichika Nito,2022-12-12 21:14:00
707,2,なんでもないよ、 - Macaroni Empitsu,2022-12-12 20:49:00
797,2,Pé Na Areia - Diogo Nogueira,2022-12-11 00:36:00
801,2,Argumento - Spotify Singles - Criolo,2022-12-05 12:10:00
802,2,Meu Mundo É Hoje (Eu Sou Assim) - Paulinho da Viola,2022-12-05 11:52:00
803,2,Pé Na Areia - Diogo Nogueira,2022-12-05 11:48:00
804,3,Subtitle - Official HIGE DANdism,2022-12-05 02:31:00
809,2,夏霞 - あたらよ,2022-12-04 10:36:00
829,2,Sun Flares - yuhei miura,2022-12-02 12:45:00
830,2,Worldwide - edbl,2022-12-01 15:04:00
833,2,10月無口な君を忘れる - あたらよ,2022-12-01 11:46:00
898,4,The Rifle's Spiral - The Shins,2022-11-30 17:10:00
933,2,Tô de Boa - Ao vivo - LUDMILLA,2022-11-28 20:04:00
940,2,made my day feat. Takuya Kuroda / Marcus D - 竹内アンナ,2022-11-28 19:22:00
949,2,Blossom - ichika Nito,2022-11-28 18:40:00
964,2,Meu Mundo É Hoje (Eu Sou Assim) - Paulinho da Viola,2022-11-27 00:09:00
1067,2,Subtitle - Official HIGE DANdism,2022-11-25 04:10:00
1189,2,The Less I Know the Better - Scary Pockets,2022-11-22 20:04:00
1248,2,Disco Ulysses (instrumental) - Vulfpeck,2022-11-21 19:41:00
1257,2,Argumento - Spotify Singles - Criolo,2022-11-21 16:04:00
1272,2,made my day feat. Takuya Kuroda / Marcus D - 竹内アンナ,2022-11-21 02:49:00
1274,2,O Trem Azul - Lô Borges,2022-11-20 23:55:00
1297,2,Espiral de Ilusão - Criolo,2022-11-18 22:28:00
1310,3,Katawaredoki - RADWIMPS,2022-11-18 18:19:00
1315,2,Linus & Lucy - Recorded at Spotify Studios NYC - Anderson .Paak,2022-11-18 17:57:00
1368,2,Akarui Mirai - never young beach,2022-11-16 14:01:00
1398,2,If I Ever Feel Better - Phoenix,2022-11-15 15:24:00
1418,2,Subtitle - Official HIGE DANdism,2022-11-15 04:47:00
1428,3,花に亡霊 - Yorushika,2022-11-15 00:37:00
1430,2,打上花火 - DAOKO,2022-11-14 22:26:00
1435,2,Subtitle - Official HIGE DANdism,2022-11-14 18:42:00
1449,2,Melos - Wednesday Campanella,2022-11-13 23:19:00
1484,2,One Last Time - The Kooks,2022-11-12 20:46:00
1490,2,New Light - John Mayer,2022-11-12 19:30:00
1505,3,Meu Mundo É Hoje (Eu Sou Assim) - Paulinho da Viola,2022-11-11 23:40:00
1507,2,Meu Mundo É Hoje (Eu Sou Assim) - Paulinho da Viola,2022-11-11 23:35:00
1509,2,Carta Pra Amy - Black Alien,2022-11-11 23:07:00
1516,2,YIN YANG - Febem,2022-11-11 13:54:00
1526,2,Swing de Campo Grande - Novos Baianos,2022-11-10 22:22:00
1532,2,1517 - The Whitest Boy Alive,2022-11-10 20:03:00
1554,2,Menina Mulher Da Pele Preta - Jorge Ben,2022-11-10 13:45:00
1576,2,Don't Start Now - Pomplamoose,2022-11-09 19:17:00
1681,2,Que Nem o Meu Cachorro - Black Alien,2022-11-03 18:51:00
1696,2,Koi - Gen Hoshino,2022-11-02 16:59:00
1697,2,Sukiyaki - Kyu Sakamoto,2022-11-02 16:56:00
1698,2,Trem das Onze - Adoniran Barbosa,2022-11-02 16:53:00
1699,2,Something Good Can Work - Two Door Cinema Club,2022-11-02 16:50:00
1700,2,Lockdown - Anderson .Paak,2022-11-02 16:46:00
1701,2,Granny - O'Donel Levy,2022-11-02 16:42:00
1702,2,Babylon By Gus - Black Alien,2022-11-02 16:38:00
1703,2,pânico de nada - Don L,2022-11-02 11:52:00
1704,2,A Journey (A Dream of Flight) - Joe Hisaishi,2022-11-02 11:49:00
1705,2,Hello You - Arctic Monkeys,2022-11-02 11:45:00
1706,2,Chin Music for the Unsuspecting Hero - Foster the People,2022-11-02 11:41:00
1707,2,Break Out - Asako Toki,2022-11-02 11:36:00
1708,2,Junk of the Heart (Happy) - The Kooks,2022-11-02 11:32:00
1714,2,Cumbia del Monte Fuji - FRENTE CUMBIERO,2022-11-02 03:29:00
1715,2,Run Boy Run - Woodkid,2022-11-02 03:25:00
1716,2,Amor Difícil - Ao vivo - LUDMILLA,2022-11-02 03:21:00
1717,2,SE EU NÃO TE CANTAR - FBC,2022-11-02 03:19:00
1718,2,Nas Águas - Criolo,2022-11-02 03:15:00
1719,2,Tô de Boa - Ao vivo - LUDMILLA,2022-11-02 03:12:00
1720,2,made my day feat. Takuya Kuroda / Marcus D - 竹内アンナ,2022-11-02 01:50:00
1722,2,made my day feat. Takuya Kuroda / Marcus D - 竹内アンナ,2022-11-01 23:46:00
1723,2,Mais Ninguém - Banda do Mar,2022-11-01 23:43:00
1725,2,Bold As Love - John Mayer,2022-11-01 20:38:00
1726,2,Slow Dancing in a Burning Room - John Mayer,2022-11-01 20:34:00
1727,2,Stop This Train - John Mayer,2022-11-01 20:29:00
1728,2,Vultures - John Mayer,2022-11-01 20:25:00
1729,2,The Heart of Life - John Mayer,2022-11-01 20:22:00
1730,2,Gravity - John Mayer,2022-11-01 20:18:00
1731,2,Belief - John Mayer,2022-11-01 20:14:00
1732,2,I Don't Trust Myself (With Loving You) - John Mayer,2022-11-01 20:09:00
1733,2,Waiting on the World to Change - John Mayer,2022-11-01 20:06:00
1737,2,made my day feat. Takuya Kuroda / Marcus D - 竹内アンナ,2022-11-01 19:53:00
1738,2,Pegue Pra Ela - Criolo,2022-11-01 19:52:00
1754,2,made my day feat. Takuya Kuroda / Marcus D - 竹内アンナ,2022-11-01 17:25:00
1791,2,Tô de Boa - Ao vivo - LUDMILLA,2022-10-29 18:34:00
1885,2,ロマンスの約束 - Lilas Ikuta,2022-10-27 12:07:00
1920,2,My Name is Dark (Art Mix) - Grimes,2022-10-26 02:12:00
2003,2,リセット - Taichi Mukai,2022-10-24 17:44:00
2010,2,Ra - Wednesday Campanella,2022-10-24 14:05:00
2013,2,Oshichi - Wednesday Campanella,2022-10-24 13:53:00
2049,2,If I Ever Feel Better - Phoenix,2022-10-22 02:17:00
2111,2,Lá Vem Você - Criolo,2022-10-20 18:23:00
2127,2,Lá Vem Você - Criolo,2022-10-19 21:36:00
2161,3,a todo vapor - Don L,2022-10-18 20:30:00
2164,2,Menino Mimado - Criolo,2022-10-18 18:25:00
2215,4,SE EU NÃO TE CANTAR - FBC,2022-10-15 16:03:00
2244,2,Cubanos - Arr. by Marcus Viana - Ernesto Nazareth,2022-10-14 21:08:00
2247,2,Nas Águas - Criolo,2022-10-14 18:27:00
2285,2,ALONES - Aqua Timez,2022-10-13 18:11:00
2300,2,少女S - Scandal,2022-10-13 12:18:00
2306,2,Summertime - Oscar Peterson,2022-10-13 03:40:00
2309,2,Dilúvio de Solidão - Criolo,2022-10-12 20:48:00
2324,2,Fogo no Pavio (oficial) - Camarada Janderson,2022-10-12 01:55:00
2331,2,Hora da Decisão - Criolo,2022-10-12 01:25:00
2399,2,Aniversário de Sobriedade - Black Alien,2022-10-11 14:00:00
2413,2,Menino Mimado - Criolo,2022-10-11 02:42:00
2421,2,タイニーリトル・アジアンタム - Shibayan,2022-10-11 01:51:00
2423,2,Lá Vem Você - Criolo,2022-10-10 21:40:00
2433,2,Lá Vem Você - Criolo,2022-10-10 01:17:00
2440,2,Suzume - RADWIMPS,2022-10-09 20:34:00
2534,2,a todo vapor - Don L,2022-10-07 03:35:00
2535,2,O Futuro - MC Primitivo,2022-10-07 02:07:00
2594,2,Cria de Favela - Criolo,2022-10-06 04:18:00
2619,2,a todo vapor - Don L,2022-10-05 23:12:00
2623,2,Kilimanjaro Cookout - O'Donel Levy,2022-10-05 17:44:00
2839,2,Arabella - Arctic Monkeys,2022-10-01 22:22:00
2840,2,Hey - Red Hot Chili Peppers,2022-10-01 21:10:00
2888,2,SE EU NÃO TE CANTAR - FBC,2022-09-30 12:40:00
2915,2,Que Nem o Meu Cachorro - Black Alien,2022-09-29 22:18:00
2929,2,Friends at Sea - Cory Wong,2022-09-29 15:37:00
2996,2,Medusa - Wednesday Campanella,2022-09-28 09:46:00
3003,2,Maria do Socorro - Maria Rita,2022-09-28 01:45:00
3023,2,Pay the Man - Foster the People,2022-09-27 21:50:00
3025,2,Sing - Goose house,2022-09-27 21:41:00
3038,2,Lost in Yesterday - Tame Impala,2022-09-27 17:07:00
3105,2,Sintoma de Amor / Depois do Amor / Agenda - Ao vivo - LUDMILLA,2022-09-26 12:24:00
3161,2,Único - Wednesday Campanella,2022-09-25 04:42:00
3168,2,SE EU NÃO TE CANTAR - FBC,2022-09-25 04:15:00
3185,2,primavera - Don L,2022-09-24 16:48:00
3230,2,The Legend Of Ashitaka - Joe Hisaishi,2022-09-23 17:28:00
3232,2,蝶々結び - Aimer,2022-09-23 17:18:00
3241,2,カタオモイ - Aimer,2022-09-23 16:38:00
3335,2,I'll Be There - O'Donel Levy,2022-09-21 17:26:00
3339,2,"Sad, Sad, Simba - O'Donel Levy",2022-09-21 17:04:00
3355,2,primavera - Don L,2022-09-20 13:59:00
3366,2,enquanto recomeça - Don L,2022-09-19 22:34:00
3470,2,Junk of the Heart (Happy) - The Kooks,2022-09-10 16:51:00
3474,2,Arabella - Arctic Monkeys,2022-09-10 00:45:00
3475,2,III - Foster the People,2022-09-10 00:41:00
3477,2,Cuando Voy Al Trabajo - Victor Jara,2022-09-10 00:32:00
3486,2,Be Who You Are - The Kooks,2022-09-09 19:44:00
3537,2,春泥棒 - Yorushika,2022-09-06 19:41:00
3585,2,Bad Bad Simba - O'Donel Levy,2022-09-05 19:03:00
3636,2,We've Only Just Begun - O'Donel Levy,2022-09-02 18:55:00
3637,2,Nature's Child - O'Donel Levy,2022-09-02 18:51:00
3643,5,The Theme of the Ghiblies - Manto Watanobe,2022-09-02 17:15:00
3690,2,Ask Yourself - Foster the People,2022-08-31 13:33:00
3697,2,Everything Is Everything - Phoenix,2022-08-31 02:52:00
3709,2,シルエット (TOKYO MACHINE Remix) - SACRA BEATS Singles - KANA-BOON,2022-08-30 16:35:00
3720,2,Harden the Paint - Foster the People,2022-08-29 22:05:00
3724,2,Aryetti's Song - Otaku,2022-08-29 21:14:00
3752,2,Grajauex - Criolo,2022-08-28 22:42:00
3757,2,Style - Foster the People,2022-08-28 15:49:00
3773,2,Cumade E Cumpade - Leandro & Leonardo,2022-08-26 22:18:00
3778,2,Menino Mimado - Criolo,2022-08-26 20:20:00
3853,2,back home studying - a girl and a cat,2022-08-23 15:49:00
4043,2,primavera - Don L,2022-08-20 04:55:00
4052,3,primavera - Don L,2022-08-20 04:07:00
4082,2,primavera - Don L,2022-08-19 11:59:00
4114,2,たぶん - YOASOBI,2022-08-18 02:56:00
4115,2,夜に駆ける - YOASOBI,2022-08-17 17:55:00
4118,2,Carta Pra Amy - Black Alien,2022-08-17 17:43:00
4120,2,pânico de nada - Don L,2022-08-17 17:37:00
4128,2,Dia de Piquete - Bernardo Beduino,2022-08-17 14:13:00
4137,2,primavera - Don L,2022-08-17 11:26:00
4190,2,たぶん - YOASOBI,2022-08-16 17:22:00
4268,2,primavera - Don L,2022-08-15 12:12:00
4294,11,primavera - Don L,2022-08-13 15:33:00
4313,2,primavera - Don L,2022-08-12 19:24:00
4383,2,たぶん - YOASOBI,2022-08-08 22:48:00
4385,2,Honestly? - American Football,2022-08-08 19:58:00
4401,9,La Partida - Victor Jara,2022-08-08 17:30:00
4408,6,たぶん - YOASOBI,2022-08-08 12:22:00
4410,2,Brasiliana - BaianaSystem,2022-08-08 04:05:00
4411,2,たぶん - YOASOBI,2022-08-08 03:50:00
4426,6,たぶん - YOASOBI,2022-08-06 03:36:00
4429,13,たぶん - YOASOBI,2022-08-05 01:27:00
4448,2,Three Mystic Apes - Wednesday Campanella,2022-08-04 18:39:00
4689,2,primavera - Don L,2022-07-30 13:54:00
4733,2,Basket Case - Green Day,2022-07-29 16:10:00
4757,2,Vira Virou - Kleiton & Kledir,2022-07-29 11:12:00
4771,2,打上花火 - DAOKO,2022-07-28 19:14:00
4787,2,Save Your Tears - The Weeknd,2022-07-27 21:04:00
4825,2,Shakushain - Wednesday Campanella,2022-07-27 11:29:00
4828,2,505 - Arctic Monkeys,2022-07-26 22:10:00
4852,2,月に吠える - Yorushika,2022-07-24 18:00:00
4885,2,The Optimist - Cory Wong,2022-07-22 19:45:00
4927,2,雨晴るる - ヨルシカ,2022-07-20 18:36:00
4929,2,月に吠える - Yorushika,2022-07-20 18:28:00
5061,2,Ponta de Lança (Verso Livre) - Rincon Sapiência,2022-07-16 05:32:00
5161,2,Kataomoi - Aimer,2022-07-14 23:17:00
